Lines Read,Execution time without tests,Execution time with unit tests
200,0.0016191000000000122,0.0037409000000000747
2000,0.015943100000000016,0.03572560000000077
4000,0.03747909999999999,0.07825589999999927
6000,0.047562400000000005,0.10249269999999966
8000,0.06293990000000005,0.15538930000000173
10000,0.08037520000000009,0.17667220000000394
12000,0.10088920000000012,0.22975379999998835
14000,0.1254822,0.28473739999999514
16000,0.18401900000000015,0.3646637000000017
18000,0.1708151,0.423406700000001
20000,0.2645021000000001,0.5809810999999994
