Lines Read,Execution time without tests,Execution time with unit tests
200,0.0005348999999998938,0.006196699999994948
2000,0.005033499999999691,0.04905130000000302
4000,0.005471000000000004,0.09172919999998985
6000,0.009922999999999682,0.13530549999999586
8000,0.011329599999999829,0.23731219999998476
10000,0.014379399999999265,0.24113280000001325
12000,0.017140799999999956,0.29364829999997255
14000,0.022366300000000727,0.3146715999999987
16000,0.02172760000000018,0.3633608999999405
18000,0.028997200000000056,0.4046012999999977
20000,0.027308699999998964,0.4445666000000621
